short,iata,longname,lon,lat,alt,wmo,isoilflg,istext,sand,clay,slsoc,slph,slcec,sldbd,depth,isoilbc,sldrain,scolour,met.driver,yeara,yearz,iphen
nouragues,nrf,Nouragues GUF,-52.683,4.033,77,NA,2,8,0.351,0.372,0.0271,4.6,0.15,1220,H,1,90,14,MERRA2_MSWEP2,1974,2017,-1
paracou,gyf,Paracou GUF,-52.912,5.282,NA,NA,2,6,0.562,0.345,0.0311,4.6,0.143,1110,H,1,90,14,Paracou,1999,2015,-1
paragominas,prg,Paragominas PA,-47.792,-3.02,81,NA,2,6,0.471,0.328,0.0136,4.8,0.063,1150,I,1,90,14,Paragominas,2004,2015,2
pedegigante,pdg,Pe-de-Gigante SP,-47.65,-21.619,NA,NA,2,2,0.85,0.03,0.0197,5.4,0.129,1300,F,1,90,14,Pe-de-Gigante,1996,2004,2
petrolina,pnz,Petrolina PE,-40.37,-9.165,383,82983,2,2,0.821,0.052,0.0081,6.3,0.231,1380,C,2,15,14,Petrolina,1999,2012,2
pucallpa,pcl,Pucallpa PER,-74.57,-8.38,NA,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
rebio_jaru,rja,Rebio Jaru RO,-61.931,-10.083,NA,NA,2,2,0.8,0.1,0.0292,4.4,0.126,1170,C,2,6,14,Rebio_Jaru,1994,2003,-1
santarem_km117,117,Santarem - Km 117 PA,-54.936,-3.35,186,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
santarem_km67,s67,Santarem - Km67 PA,-54.959,-2.857,198,NA,2,16,0.39,0.59,0.0208,4.3,0.129,1190,I,1,90,14,Santarem_Km67,1996,2012,-1
santarem_km77,s77,Santarem - Km 77 PA,-54.537,-3.012,33,NA,2,16,0.39,0.59,0.0165,4.5,0.148,1200,I,1,90,14,Santarem_Km77,1996,2006,2
santarem_km83,s83,Santarem - Km 83 PA,-54.971,-3.018,191,NA,2,16,0.39,0.59,0.0168,4.2,0.12,1190,I,1,90,14,Santarem_Km83,1995,2004,-1
santa_virginia,svg,Serra do Mar SP,-45.070,-23.330,1018,NA,2,6,0.483,0.341,0.0317,4.9,0.143,1110,H,1,90,14,MERRA2_MSWEP2,1974,2017,-1
sao_felix_xingu,sfx,Sao Felix do Xingu PA,-52,-6.507,197,NA,2,6,0.451,0.309,0.0266,4.7,0.124,1192,I,1,90,14,MERRA2_MSWEP2,1974,2017,-1
sao_jorge,tsj,Sao Jorge PA,-54.971,-3.135,111,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
sao_martinho,mhs,Sao Martinho da Serra RS,-53.823,-29.443,489,83937,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,Sao_Martinho,2000,2013,2
saraca-taquera,fst,Saraca-Taquera Natl. Forest PA,-56.223,-1.622,104,NA,2,6,0.588,0.272,0.0266,4.7,0.124,1192,I,1,90,14,MERRA2_MSWEP2,1974,2017,-1
sinop,ops,Sinop MT,-55.322,-11.421,423,NA,2,2,0.84,0.12,0.0266,4.7,0.124,1192,E,1,90,14,MERRA2_MSWEP2,1974,2017,2
talisma,tal,Fazenda Talisma PA,-67.977,-10.255,189,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
tambopata,tam,Tambopata PER,-69.271,-12.83,NA,NA,2,11,0.4,0.43,0.0232,5,0.11,1240,B,1,90,14,MERRA2_MSWEP2,1974,2017,2
tanguro_burn,tbx,Tanguro (Burnt) MT,-52.387,-13.079,349,NA,2,6,0.645,0.205,0.0199,5,0.088,1270,I,1,90,14,Tanguro_Burn,2009,2018,-1
tanguro_ctrl,tb0,Tanguro (Intact) MT,-52.409,-13.081,349,NA,2,6,0.645,0.205,0.0199,5,0.088,1270,I,1,90,14,Tanguro_Ctrl,2009,2019,-1
tanguro_sl,tan,Fazenda Tanguro MT,-52.409,-13.081,349,NA,2,6,0.645,0.205,0.0199,5,0.088,1270,I,1,90,14,Tanguro,2009,2019,-1
tapajos,tnf,Tapajos Natl. Forest PA,-54.941,-3.129,110,NA,2,16,0.433,0.43,0.0266,4.7,0.124,1192,I,1,90,14,Santarem_Km67,1996,2012,-1
tapajos,tni,Tapajos Natl. Forest PA,-54.955,-2.857,199,NA,2,16,0.39,0.59,0.0208,4.3,0.129,1190,H,1,90,14,Santarem_Km67,1996,2012,-1
tome-acu,tac,Tome-Acu PA,-48.314,-2.461,50,NA,2,6,0.504,0.294,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
tonzi,tzi,Tonzi CA,-120.894,38.427,NA,NA,2,5,0.447,0.191,0.0266,4.7,0.124,1192,D,1,90,14,Tonzi,1964,2009,2
vila_franca,vfr,Vila Franca PA,-55.029,-2.349,13,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
vilhena,bvh,Vilhena RO,-60.1,-12.73,612,83208,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,2
west_feliz_natal,fna,Feliz Natal (Vitoria) MT,-55.019,-12.501,392,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,2
west_sao_felix,sx1,Sao Felix (West) PA,-52.904,-6.41,213,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
yasuni,ysn,Yasuni ECU,-76.396,-0.686,NA,NA,2,4,0.259,0.255,0.0466,4.6,0.126,1090,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
